volume_id,book_id,chapter_id,verse_id,volume_title,book_title,volume_long_title,book_long_title,volume_subtitle,book_subtitle,volume_short_title,book_short_title,volume_lds_url,book_lds_url,chapter_number,verse_number,scripture_text,verse_title,verse_short_title
3,67,1190,31103,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,1,"I, Nephi, having been born of goodly parents, therefore I was taught somewhat in all the learning of my father; and having seen many afflictions in the course of my days, nevertheless, having been highly favored of the Lord in all my days; yea, having had a great knowledge of the goodness and the mysteries of God, therefore I make a record of my proceedings in my days.",1 Nephi 1:1,1 Ne. 1:1
3,67,1190,31104,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,2,"Yea, I make a record in the language of my father, which consists of the learning of the Jews and the language of the Egyptians.",1 Nephi 1:2,1 Ne. 1:2
3,67,1190,31106,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,4,"For it came to pass in the commencement of the first year of the reign of Zedekiah, king of Judah, (my father, Lehi, having dwelt at Jerusalem in all his days); and in that same year there came many prophets, prophesying unto the people that they must repent, or the great city Jerusalem must be destroyed.",1 Nephi 1:4,1 Ne. 1:4
3,67,1190,31107,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,5,"Wherefore it came to pass that my father, Lehi, as he went forth prayed unto the Lord, yea, even with all his heart, in behalf of his people.",1 Nephi 1:5,1 Ne. 1:5
3,67,1190,31109,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,7,"And it came to pass that he returned to his own house at Jerusalem; and he cast himself upon his bed, being overcome with the Spirit and the things which he had seen.",1 Nephi 1:7,1 Ne. 1:7
3,67,1190,31110,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,8,"And being thus overcome with the Spirit, he was carried away in a vision, even that he saw the heavens open, and he thought he saw God sitting upon his throne, surrounded with numberless concourses of angels in the attitude of singing and praising their God.",1 Nephi 1:8,1 Ne. 1:8
3,67,1190,31111,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,9,"And it came to pass that he saw One descending out of the midst of heaven, and he beheld that his luster was above that of the sun at noon-day.",1 Nephi 1:9,1 Ne. 1:9
3,67,1190,31112,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,10,"And he also saw twelve others following him, and their brightness did exceed that of the stars in the firmament.",1 Nephi 1:10,1 Ne. 1:10
3,67,1190,31113,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,11,"And they came down and went forth upon the face of the earth; and the first came and stood before my father, and gave unto him a book, and bade him that he should read.",1 Nephi 1:11,1 Ne. 1:11
3,67,1190,31114,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,12,"And it came to pass that as he read, he was filled with the Spirit of the Lord.",1 Nephi 1:12,1 Ne. 1:12
3,67,1190,31115,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,13,"And he read, saying: Wo, wo, unto Jerusalem, for I have seen thine abominations! Yea, and many things did my father read concerning Jerusalem--that it should be destroyed, and the inhabitants thereof; many should perish by the sword, and many should be carried away captive into Babylon.",1 Nephi 1:13,1 Ne. 1:13
3,67,1190,31116,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,14,"And it came to pass that when my father had read and seen many great and marvelous things, he did exclaim many things unto the Lord; such as: Great and marvelous are thy works, O Lord God Almighty! Thy throne is high in the heavens, and thy power, and goodness, and mercy are over all the inhabitants of the earth; and, because thou art merciful, thou wilt not suffer those who come unto thee that they shall perish!",1 Nephi 1:14,1 Ne. 1:14
3,67,1190,31118,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,16,"And now I, Nephi, do not make a full account of the things which my father hath written, for he hath written many things which he saw in visions and in dreams; and he also hath written many things which he prophesied and spake unto his children, of which I shall not make a full account.",1 Nephi 1:16,1 Ne. 1:16
3,67,1190,31120,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,18,"Therefore, I would that ye should know, that after the Lord had shown so many marvelous things unto my father, Lehi, yea, concerning the destruction of Jerusalem, behold he went forth among the people, and began to prophesy and to declare unto them concerning the things which he had both seen and heard.",1 Nephi 1:18,1 Ne. 1:18
3,67,1190,31122,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,1,20,"And when the Jews heard these things they were angry with him; yea, even as with the prophets of old, whom they had cast out, and stoned, and slain; and they also sought his life, that they might take it away. But behold, I, Nephi, will show unto you that the tender mercies of the Lord are over all those whom he hath chosen, because of their faith, to make them mighty even unto the power of deliverance.",1 Nephi 1:20,1 Ne. 1:20
3,67,1191,31123,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,1,"For behold, it came to pass that the Lord spake unto my father, yea, even in a dream, and said unto him: Blessed art thou Lehi, because of the things which thou hast done; and because thou hast been faithful and declared unto this people the things which I commanded thee, behold, they seek to take away thy life.",1 Nephi 2:1,1 Ne. 2:1
3,67,1191,31125,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,3,"And it came to pass that he was obedient unto the word of the Lord, wherefore he did as the Lord commanded him.",1 Nephi 2:3,1 Ne. 2:3
3,67,1191,31126,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,4,"And it came to pass that he departed into the wilderness. And he left his house, and the land of his inheritance, and his gold, and his silver, and his precious things, and took nothing with him, save it were his family, and provisions, and tents, and departed into the wilderness.",1 Nephi 2:4,1 Ne. 2:4
3,67,1191,31127,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,5,"And he came down by the borders near the shore of the Red Sea; and he traveled in the wilderness in the borders which are nearer the Red Sea; and he did travel in the wilderness with his family, which consisted of my mother, Sariah, and my elder brothers, who were Laman, Lemuel, and Sam.",1 Nephi 2:5,1 Ne. 2:5
3,67,1191,31128,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,6,"And it came to pass that when he had traveled three days in the wilderness, he pitched his tent in a valley by the side of a river of water.",1 Nephi 2:6,1 Ne. 2:6
3,67,1191,31130,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,8,"And it came to pass that he called the name of the river, Laman, and it emptied into the Red Sea; and the valley was in the borders near the mouth thereof.",1 Nephi 2:8,1 Ne. 2:8
3,67,1191,31131,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,9,"And when my father saw that the waters of the river emptied into the fountain of the Red Sea, he spake unto Laman, saying: O that thou mightest be like unto this river, continually running into the fountain of all righteousness!",1 Nephi 2:9,1 Ne. 2:9
3,67,1191,31132,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,10,"And he also spake unto Lemuel: O that thou mightest be like unto this valley, firm and steadfast, and immovable in keeping the commandments of the Lord!",1 Nephi 2:10,1 Ne. 2:10
3,67,1191,31134,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,12,"And thus Laman and Lemuel, being the eldest, did murmur against their father. And they did murmur because they knew not the dealings of that God who had created them.",1 Nephi 2:12,1 Ne. 2:12
3,67,1191,31135,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,13,"Neither did they believe that Jerusalem, that great city, could be destroyed according to the words of the prophets. And they were like unto the Jews who were at Jerusalem, who sought to take away the life of my father.",1 Nephi 2:13,1 Ne. 2:13
3,67,1191,31136,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,14,"And it came to pass that my father did speak unto them in the valley of Lemuel, with power, being filled with the Spirit, until their frames did shake before him. And he did confound them, that they durst not utter against him; wherefore, they did as he commanded them.",1 Nephi 2:14,1 Ne. 2:14
3,67,1191,31139,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,17,"And I spake unto Sam, making known unto him the things which the Lord had manifested unto me by his Holy Spirit. And it came to pass that he believed in my words.",1 Nephi 2:17,1 Ne. 2:17
3,67,1191,31140,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,18,"But, behold, Laman and Lemuel would not hearken unto my words; and being grieved because of the hardness of their hearts I cried unto the Lord for them.",1 Nephi 2:18,1 Ne. 2:18
3,67,1191,31144,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,2,22,"And inasmuch as thou shalt keep my commandments, thou shalt be made a ruler and a teacher over thy brethren.",1 Nephi 2:22,1 Ne. 2:22
3,67,1192,31147,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,1,"And it came to pass that I, Nephi, returned from speaking with the Lord, to the tent of my father.",1 Nephi 3:1,1 Ne. 3:1
3,67,1192,31148,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,2,"And it came to pass that he spake unto me, saying: Behold I have dreamed a dream, in the which the Lord hath commanded me that thou and thy brethren shall return to Jerusalem.",1 Nephi 3:2,1 Ne. 3:2
3,67,1192,31150,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,4,"Wherefore, the Lord hath commanded me that thou and thy brothers should go unto the house of Laban, and seek the records, and bring them down hither into the wilderness.",1 Nephi 3:4,1 Ne. 3:4
3,67,1192,31151,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,5,"And now, behold thy brothers murmur, saying it is a hard thing which I have required of them; but behold I have not required it of them, but it is a commandment of the Lord.",1 Nephi 3:5,1 Ne. 3:5
3,67,1192,31152,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,6,"Therefore go, my son, and thou shalt be favored of the Lord, because thou hast not murmured.",1 Nephi 3:6,1 Ne. 3:6
3,67,1192,31154,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,8,"And it came to pass that when my father had heard these words he was exceedingly glad, for he knew that I had been blessed of the Lord.",1 Nephi 3:8,1 Ne. 3:8
3,67,1192,31155,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,9,"And I, Nephi, and my brethren took our journey in the wilderness, with our tents, to go up to the land of Jerusalem.",1 Nephi 3:9,1 Ne. 3:9
3,67,1192,31156,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,10,"And it came to pass that when we had gone up to the land of Jerusalem, I and my brethren did consult one with another.",1 Nephi 3:10,1 Ne. 3:10
3,67,1192,31158,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,12,"And he desired of Laban the records which were engraven upon the plates of brass, which contained the genealogy of my father.",1 Nephi 3:12,1 Ne. 3:12
3,67,1192,31159,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,13,"And behold, it came to pass that Laban was angry, and thrust him out from his presence; and he would not that he should have the records. Wherefore, he said unto him: Behold thou art a robber, and I will slay thee.",1 Nephi 3:13,1 Ne. 3:13
3,67,1192,31160,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,14,"But Laman fled out of his presence, and told the things which Laban had done, unto us. And we began to be exceedingly sorrowful, and my brethren were about to return unto my father in the wilderness.",1 Nephi 3:14,1 Ne. 3:14
3,67,1192,31161,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,15,"But behold I said unto them that: As the Lord liveth, and as we live, we will not go down unto our father in the wilderness until we have accomplished the thing which the Lord hath commanded us.",1 Nephi 3:15,1 Ne. 3:15
3,67,1192,31162,Book of Mormon,1 Nephi,The Book of Mormon,The First Book of Nephi,Another Testament of Jesus Christ,His Reign and Ministry,BoM,1 Ne.,bofm,1-ne,3,16,"Wherefore, let us be faithful in keeping the commandments of the Lord; therefore let us go down to the land of our father's inheritance, for behold he left gold and silver, and all manner of riches. And all this he hath done because of the commandments of the Lord.",1 Nephi 3:16,1 Ne. 3:16
